date_time_bucket, passenger_count
2012-06-11_23-30,14597
2012-06-12_00-00,11554
2012-06-12_00-30,8876
2012-06-12_01-00,6838
2012-06-12_01-30,5050
2012-06-12_02-00,4204
2012-06-12_02-30,3135
2012-06-12_03-00,2627
2012-06-12_03-30,2196
2012-06-12_04-00,2175
2012-06-12_04-30,2021
2012-06-12_05-00,2613
2012-06-12_05-30,4291
2012-06-12_06-00,7046
2012-06-12_06-30,12159
2012-06-12_07-00,16085
2012-06-12_07-30,21089
2012-06-12_08-00,23160
2012-06-12_08-30,23818
2012-06-12_09-00,22318
2012-06-12_09-30,21573
2012-06-12_10-00,19812
2012-06-12_10-30,19986
2012-06-12_11-00,19586
2012-06-12_11-30,21267
2012-06-12_12-00,23839
2012-06-12_12-30,23187
2012-06-12_13-00,21557
2012-06-12_13-30,22329
2012-06-12_14-00,23921
2012-06-12_14-30,22310
2012-06-12_15-00,20913
2012-06-12_15-30,18576
2012-06-12_16-00,16704
2012-06-12_16-30,15045
2012-06-12_17-00,17892
2012-06-12_17-30,20916
2012-06-12_18-00,23888
2012-06-12_18-30,25161
2012-06-12_19-00,26426
2012-06-12_19-30,26598
2012-06-12_20-00,25786
2012-06-12_20-30,26797
2012-06-12_21-00,28960
2012-06-12_21-30,28143
2012-06-12_22-00,27023
2012-06-12_22-30,25991
2012-06-12_23-00,22800
2012-06-12_23-30,20947
2012-06-13_00-00,17043
2012-06-13_00-30,12473
2012-06-13_01-00,9476
2012-06-13_01-30,6474
2012-06-13_02-00,5125
2012-06-13_02-30,3941
2012-06-13_03-00,3001
2012-06-13_03-30,2665
2012-06-13_04-00,2720
2012-06-13_04-30,2326
2012-06-13_05-00,2593
2012-06-13_05-30,4425
2012-06-13_06-00,7131
2012-06-13_06-30,12430
2012-06-13_07-00,16380
2012-06-13_07-30,21051
2012-06-13_08-00,22903
2012-06-13_08-30,23361
2012-06-13_09-00,22412
2012-06-13_09-30,21808
2012-06-13_10-00,20187
2012-06-13_10-30,20102
2012-06-13_11-00,19783
2012-06-13_11-30,21934
2012-06-13_12-00,23648
2012-06-13_12-30,20761
2012-06-13_13-00,20513
2012-06-13_13-30,21310
2012-06-13_14-00,21580
2012-06-13_14-30,22770
2012-06-13_15-00,21505
2012-06-13_15-30,18531
2012-06-13_16-00,16342
2012-06-13_16-30,14985
2012-06-13_17-00,18205
2012-06-13_17-30,21709
2012-06-13_18-00,25186
2012-06-13_18-30,26671
2012-06-13_19-00,27884
2012-06-13_19-30,28374
2012-06-13_20-00,26627
2012-06-13_20-30,26849
2012-06-13_21-00,27727
2012-06-13_21-30,27473
2012-06-13_22-00,27425
2012-06-13_22-30,26458
2012-06-13_23-00,24516
2012-06-13_23-30,21485
2012-06-14_00-00,17811
2012-06-14_00-30,14255
2012-06-14_01-00,11220
2012-06-14_01-30,8144
2012-06-14_02-00,6861
2012-06-14_02-30,5277
2012-06-14_03-00,4365
2012-06-14_03-30,3522
2012-06-14_04-00,3518
2012-06-14_04-30,2715
2012-06-14_05-00,2957
2012-06-14_05-30,4709
2012-06-14_06-00,7244
2012-06-14_06-30,12261
2012-06-14_07-00,16318
2012-06-14_07-30,21109
2012-06-14_08-00,22667
2012-06-14_08-30,23637
2012-06-14_09-00,22448
2012-06-14_09-30,21637
2012-06-14_10-00,20189
2012-06-14_10-30,20498
2012-06-14_11-00,19350
2012-06-14_11-30,21806
2012-06-14_12-00,21463
2012-06-14_12-30,20858
2012-06-14_13-00,20471
2012-06-14_13-30,21084
2012-06-14_14-00,21546
2012-06-14_14-30,21979
2012-06-14_15-00,19864
2012-06-14_15-30,18192
2012-06-14_16-00,15939
2012-06-14_16-30,14952
2012-06-14_17-00,18035
2012-06-14_17-30,21327
2012-06-14_18-00,24362
2012-06-14_18-30,26167
2012-06-14_19-00,27538
2012-06-14_19-30,28156
2012-06-14_20-00,27969
2012-06-14_20-30,27677
2012-06-14_21-00,28055
2012-06-14_21-30,27814
2012-06-14_22-00,28535
2012-06-14_22-30,27617
2012-06-14_23-00,26555
2012-06-14_23-30,25588
2012-06-15_00-00,24616
2012-06-15_00-30,21184
2012-06-15_01-00,17623
2012-06-15_01-30,13948
2012-06-15_02-00,11560
2012-06-15_02-30,8967
2012-06-15_03-00,6732
2012-06-15_03-30,5595
2012-06-15_04-00,5045
2012-06-15_04-30,3988
2012-06-15_05-00,3776
2012-06-15_05-30,5116
2012-06-15_06-00,7291
2012-06-15_06-30,11897
2012-06-15_07-00,15349
2012-06-15_07-30,18981
2012-06-15_08-00,21486
2012-06-15_08-30,22738
2012-06-15_09-00,21705
2012-06-15_09-30,20703
2012-06-15_10-00,19351
2012-06-15_10-30,20056
2012-06-15_11-00,18907
2012-06-15_11-30,20312
2012-06-15_12-00,20275
2012-06-15_12-30,20111
2012-06-15_13-00,19335
2012-06-15_13-30,19371
2012-06-15_14-00,20735
2012-06-15_14-30,21531
2012-06-15_15-00,19414
2012-06-15_15-30,17879
2012-06-15_16-00,16017
2012-06-15_16-30,14138
2012-06-15_17-00,17374
2012-06-15_17-30,20927
2012-06-15_18-00,24073
2012-06-15_18-30,26352
2012-06-15_19-00,27877
2012-06-15_19-30,28852
2012-06-15_20-00,27733
2012-06-15_20-30,26232
2012-06-15_21-00,27381
2012-06-15_21-30,27765
2012-06-15_22-00,28544
2012-06-15_22-30,29334
2012-06-15_23-00,29604
2012-06-15_23-30,29584
2012-06-16_00-00,28634
2012-06-16_00-30,27390
2012-06-16_01-00,26103
2012-06-16_01-30,23419
2012-06-16_02-00,22260
2012-06-16_02-30,20223
2012-06-16_03-00,16894
2012-06-16_03-30,14872
2012-06-16_04-00,12180
2012-06-16_04-30,7745
2012-06-16_05-00,4891
2012-06-16_05-30,4241
2012-06-16_06-00,4165
2012-06-16_06-30,4679
2012-06-16_07-00,5315
2012-06-16_07-30,7160
2012-06-16_08-00,8250
2012-06-16_08-30,10902
2012-06-16_09-00,12524
2012-06-16_09-30,15674
2012-06-16_10-00,16181
2012-06-16_10-30,17938
2012-06-16_11-00,18394
2012-06-16_11-30,19745
2012-06-16_12-00,19647
2012-06-16_12-30,20827
2012-06-16_13-00,20648
2012-06-16_13-30,21361
2012-06-16_14-00,20187
